conditions,artistName,msPlayed
Clear,Sezen Aksu,4397059
Clear,The Weeknd,2853149
Clear,Ahmet Hatipoğlu,2420984
Clear,Pilli Bebek,2051231
Clear,Yalın,1902068
Partially cloudy,Sezen Aksu,4508765
Partially cloudy,Central Cee,3969318
Partially cloudy,Frédéric Chopin,1903353
Partially cloudy,Quavo,1874386
Partially cloudy,Yalın,1803661
"Rain, Partially cloudy",Yalın,4320158
"Rain, Partially cloudy",Yaşar,3509979
"Rain, Partially cloudy",Sezen Aksu,2498592
"Rain, Partially cloudy",Dolu Kadehi Ters Tut,2247197
"Rain, Partially cloudy",Ferdi Özbeğen,2245862
